S.No.,Movie Name,Year,Crew,IMDb
199, Mr. Smith Goes to Washington,-1939,"Frank Capra (dir.), James Stewart, Jean Arthur",8.070251276
200, Prisoners,-2013,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",8.069652007
201, Sherlock Jr.,-1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.068711222
202, 12 Years a Slave,-2013,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",8.064112073
203, Du rififi chez les hommes,-1955,"Jules Dassin (dir.), Jean Servais, Carl Möhner",8.061732328
204, Mad Max: Fury Road,-2015,"George Miller (dir.), Tom Hardy, Charlize Theron",8.060271376
205, Barry Lyndon,-1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.059472864
206, Cool Hand Luke,-1967,"Stuart Rosenberg (dir.), Paul Newman, George Kennedy",8.057894108
207, Stand by Me,-1986,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",8.057419473
208, Network,-1976,"Sidney Lumet (dir.), Faye Dunaway, William Holden",8.057353781
209, Million Dollar Baby,-2004,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",8.055563073
210, Into the Wild,-2007,"Sean Penn (dir.), Emile Hirsch, Vince Vaughn",8.054755456
211, Le salaire de la peur,-1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.054199757
212, Hachi: A Dog's Tale,-2009,"Lasse Hallström (dir.), Richard Gere, Joan Allen",8.05324269
213, Ben-Hur,-1959,"William Wyler (dir.), Charlton Heston, Jack Hawkins",8.052145874
214, Life of Brian,-1979,"Terry Jones (dir.), Graham Chapman, John Cleese",8.051896036
215, Platoon,-1986,"Oliver Stone (dir.), Charlie Sheen, Tom Berenger",8.051323267
216, Dead Poets Society,-1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.050437365
217, Rush,-2013,"Ron Howard (dir.), Daniel Brühl, Chris Hemsworth",8.050346747
218, Harry Potter and the Deathly Hallows: Part 2,-2011,"David Yates (dir.), Daniel Radcliffe, Emma Watson",8.049614073
219, Logan,-2017,"James Mangold (dir.), Hugh Jackman, Patrick Stewart",8.049232378
220, La passion de Jeanne d'Arc,-1928,"Carl Theodor Dreyer (dir.), Maria Falconetti, Eugene Silvain",8.045445657
